Assinatura,Ata,Ano,Processo,Contratado,CPF/CNPJ,_doc,Categoria,Objeto,Situacao,Valor,_valor
30/04/2026,000075,2026,000018/2026,EMBACOM LTDA,47.156.456/0001-09,47156456000109,Raterio de Consorcio Publico,"Registro de precos de confeccao de pasta de processos licitatorios para atendimento a demanda do Departamento de Suprimentos, conforme quantidades, especificacoes e demais condicoes estabelecidas no edital e seus anexos.",Vigente,"R$ 8.400,00",8400.0
09/04/2026,000071,2026,000019/2026,GESTAO DO CUIDADO SERVICOS DE SAUDE LTDA,47.434.926/0001-59,47434926000159,PRESTACAO DE SERVICOS,"Utilizacao da Ata de Registro de Preco nº. 21/2025 Processo nº 22/2025, PREGAO 11/2025 realizado pelo Consorcio Intermunicipal da Baixa Mogiana  CIMOG, visando a contratacao de empresa especializada na prestacao de servicos de telemedicina em multiplas es",Vigente,"R$ 159.291,59",159291.59
23/03/2026,000070,2026,000015/2026,R e L Industria e Comercio de Artigos de Decoracoes,10.302.648/0001-76,10302648000176,COMPRAS E SERVICOS,"Registro de precos para fornecimento com instalacao de divisorias, persianas, toldos, forros PVC branco e produtos de protecao, conforme quantidades, especificacoes e demais condicoes estabelecidas no edital e seus anexos.",Vigente,"R$ 229.000,00",229000.0
23/03/2026,000069,2026,000015/2026,MINASBOX LTDA - ME,10.412.648/0001-29,10412648000129,COMPRAS E SERVICOS,"Registro de precos para fornecimento com instalacao de divisorias, persianas, toldos, forros PVC branco e produtos de protecao, conforme quantidades, especificacoes e demais condicoes estabelecidas no edital e seus anexos.",Vigente,"R$ 504.790,00",504790.0
23/03/2026,000068,2026,000015/2026,Elivelto Maia Comunicacao Visual,26.059.201/0001-58,26059201000158,COMPRAS E SERVICOS,"Registro de precos para fornecimento com instalacao de divisorias, persianas, toldos, forros PVC branco e produtos de protecao, conforme quantidades, especificacoes e demais condicoes estabelecidas no edital e seus anexos.",Vigente,"R$ 35.853,00",35853.0
23/03/2026,000067,2026,000015/2026,DWG CONSTRUCOES LTDA,12.978.834/0001-55,12978834000155,COMPRAS E SERVICOS,"Registro de precos para fornecimento com instalacao de divisorias, persianas, toldos, forros PVC branco e produtos de protecao, conforme quantidades, especificacoes e demais condicoes estabelecidas no edital e seus anexos.",Vigente,"R$ 44.955,00",44955.0
23/03/2026,000066,2026,000015/2026,BLINDS DECOR LTDA,40.970.036/0001-12,40970036000112,COMPRAS E SERVICOS,"Registro de precos para fornecimento com instalacao de divisorias, persianas, toldos, forros PVC branco e produtos de protecao, conforme quantidades, especificacoes e demais condicoes estabelecidas no edital e seus anexos.",Vigente,"R$ 72.900,00",72900.0
28/01/2026,000045,2026,000141/2025,YOU CARE SOLUCOES HOSPITALARES LTDA,56.066.880/0001-53,56066880000153,COMPRAS - MATERIAL,"Registro de precos visando a futura e eventual aquisicao de materiais e equipamentos ambulatoriais, conforme quantidades, especificacoes e demais condicoes estabelecidas no edital e seus anexos",Vigente,"R$ 6.000,00",6000.0
28/01/2026,000044,2026,000141/2025,Wama Produtos para Laboratorio Ltda,66.000.787/0001-08,66000787000108,COMPRAS - MATERIAL,"Registro de precos visando a futura e eventual aquisicao de materiais e equipamentos ambulatoriais, conforme quantidades, especificacoes e demais condicoes estabelecidas no edital e seus anexos",Vigente,"R$ 16.360,00",16360.0
28/01/2026,000043,2026,000141/2025,VS COSTA E CIA LTDA,05.286.960/0001-83,05286960000183,COMPRAS - MATERIAL,"Registro de precos visando a futura e eventual aquisicao de materiais e equipamentos ambulatoriais, conforme quantidades, especificacoes e demais condicoes estabelecidas no edital e seus anexos",Vigente,"R$ 4.600,00",4600.0
