Rank,Data,Processo,Empenho,Tipo,Favorecido,CPF/CNPJ,_doc,Valor,_valor,Historico,Funcao,Subfuncao,Programa,Acao,Categoria Economica,Grupo Natureza,Elemento Despesa,Fonte Recurso
1,05/01/2026,0000052/2025,0000340/2026,Estimativo,THV SANEAMENTO LTDA,08.571.302/0001-21,08571302000121,"R$ 993.000,00",993000.0,"Contratacao de empresa especializada para prestacao de servicos de coleta manual de residuos domiciliares e comerciais, na zona urbana deste Municipio, com transporte direto para o aterro sanitario em Tapiratiba-SP, conforme especificacoes contidas no edital",15 - URBANISMO,452 - SERVICOS URBANOS,1504 - DEPARTAMENTO DE LIMPEZA PUBLICA,2.032 - MANUTENCAO DEPARTAMENTO DE LIMPEZA PUBLICA,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,0000 - Sem Complementacao
2,29/01/2026,0000538/2026,0000538/2026,Ordinario,FOLHA DE PAGAMENTO,18.668.624/0001-47,18668624000147,"R$ 968.824,72",968824.72,"FOLHA DE PAGAMENTO DE SERVIDORES MUNICIPAIS, REFERENTE A  - FOLHA GERAL DO MES DE JANEIRO DE 2026.",12 - EDUCACAO,361 - ENSINO FUNDAMENTAL,1201 - ATENDIMENTO AO ENSINO FUNDAMENTAL,2.042 - MANUTENCAO ENSINO FUNDAMENTAL,30000000000 - Despesas Correntes,31000000000 - Pessoal e Encargos Sociais,31901100000 - Vencimentos e Vantagens Fixas - Pessoal Civil,1070 - Identificacao do percentual aplicado no pagamento da remuneracao dos profissionais da educacao basica em efetivo exercicio
3,04/05/2026,0000061/2024,0001419/2026,Global,IRMANDADE SANTA CASA DE MISERICORDIA DE MUZAMBINHO,22.830.020/0001-22,22830020000122,"R$ 827.352,36",827352.36,REFERENTE AO 12º TERMO ADITIVO.,10 - SAUDE,302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL,1003 - ATENCAO A SAUDE DA POPULACAO,2.061 - MANUTENCAO BLOCO MEDIA COMPLEXIDADE,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,1002 - Identificacao das despesas com acoes e servicos publicos de saude
4,25/03/2026,0001715/2026,0001715/2026,Ordinario,FOLHA DE PAGAMENTO,18.668.624/0001-47,18668624000147,"R$ 808.498,50",808498.5,"FOLHA DE PAGAMENTO DE SERVIDORES MUNICIPAIS, REFERENTE A  - FOLHA GERAL DO MES DE MARCO DE 2026.",12 - EDUCACAO,361 - ENSINO FUNDAMENTAL,1201 - ATENDIMENTO AO ENSINO FUNDAMENTAL,2.042 - MANUTENCAO ENSINO FUNDAMENTAL,30000000000 - Despesas Correntes,31000000000 - Pessoal e Encargos Sociais,31901100000 - Vencimentos e Vantagens Fixas - Pessoal Civil,1070 - Identificacao do percentual aplicado no pagamento da remuneracao dos profissionais da educacao basica em efetivo exercicio
5,06/03/2026,0000001/2025,0000167/2026,Estimativo,COLINA TRANSPORTES LTDA,11.347.806/0001-77,11347806000177,"R$ 755.089,89",755089.89,Complementacao de empenho referente ao 3º termo aditivo de prorrogacao com vigencia de 07/03/2026 a 07/03/2027.,12 - EDUCACAO,361 - ENSINO FUNDAMENTAL,1202 - ATENDIMENTO AO TRANSPORTE ESCOLAR,2.045 - MANUTENCAO TRANSPORTE ESCOLAR,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,0000 - Sem Complementacao
6,07/05/2026,0000001/2025,0002805/2026,Global,COLINA TRANSPORTES LTDA,11.347.806/0001-77,11347806000177,"R$ 732.053,44",732053.44,"Referente ao 5º termo aditivo. Contratacao de empresa(s) especializada (s) para prestacao de servicos de transporte escolar de alunos da Rede Municipal de Ensino e Estadual neste Municipio, conforme itinerarios e demais especificacoes contidas no edital e seus anexos.",12 - EDUCACAO,361 - ENSINO FUNDAMENTAL,1202 - ATENDIMENTO AO TRANSPORTE ESCOLAR,2.045 - MANUTENCAO TRANSPORTE ESCOLAR,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,0000 - Sem Complementacao
7,14/04/2026,0000001/2025,0002232/2026,Global,COLINA TRANSPORTES LTDA,11.347.806/0001-77,11347806000177,"R$ 726.043,19",726043.19,"Referente ao 4º termo aditivo, quanto ao reequilibrio economico financeiro dos valores unitarios contratados, nos termos da lei 14.133/21.",12 - EDUCACAO,361 - ENSINO FUNDAMENTAL,1202 - ATENDIMENTO AO TRANSPORTE ESCOLAR,2.045 - MANUTENCAO TRANSPORTE ESCOLAR,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,0000 - Sem Complementacao
8,14/04/2026,0000001/2025,0002197/2026,Global,COLINA TRANSPORTES LTDA,11.347.806/0001-77,11347806000177,"R$ 726.043,19",726043.19,"Contratacao de empresa(s) especializada (s) para prestacao de servicos de transporte escolar de alunos da Rede Municipal de Ensino e Estadual neste Municipio, conforme itinerarios e demais especificacoes contidas no edital e seus anexos.",12 - EDUCACAO,361 - ENSINO FUNDAMENTAL,1202 - ATENDIMENTO AO TRANSPORTE ESCOLAR,2.045 - MANUTENCAO TRANSPORTE ESCOLAR,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,0000 - Sem Complementacao
9,05/01/2026,0000137/2026,0000137/2026,Estimativo,CEMIG DISTRIBUICAO S/A,06.981.180/0001-16,06981180000116,"R$ 720.000,00",720000.0,"RELATIVO AO FORNECIMENTO E MANUTENCAO DOS SERVICOS DE ENERGIA ELETRICA DEST. A ILUMINACAO PUBLICA, DURANTE O EXERCICIO DE 2026.",15 - URBANISMO,452 - SERVICOS URBANOS,1503 - ILUMINACO PUBLICA,2.031 - MANUTENCAO ILUMINACAO PUBLICA,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,0000 - Sem Complementacao
10,05/01/2026,0000061/2024,0000105/2026,Global,IRMANDADE SANTA CASA DE MISERICORDIA DE MUZAMBINHO,22.830.020/0001-22,22830020000122,"R$ 716.667,12",716667.12,"Contrato para prestacao de servicos de saude no ambito hospitalar com procedimentos de media complexidade, atendimento ambulatorial, eletivo e de urgencia/emergencia; internacoes hospitalares de urgencia/emergencia;",10 - SAUDE,302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL,1003 - ATENCAO A SAUDE DA POPULACAO,2.061 - MANUTENCAO BLOCO MEDIA COMPLEXIDADE,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903400000 - Outras Despesas de Pessoal Decorrentes de Contratos de Terceirizacao,1002 - Identificacao das despesas com acoes e servicos publicos de saude
11,29/04/2026,0000118/2025,0002671/2026,Global,CATANDUVA CONSTRUTORA E PRESTADORA DE SERVICO LTDA,55.053.541/0001-70,55053541000170,"R$ 665.000,00",665000.0,"CONTRATACAO DE EMPRESA ESPECIALIZADA EM ENGENHARIA/ARQUITETURA COM A FINALIDADE DE REALIZAR SERVICOS COMUNS DE ENGENHARIA PARA REFORMA DA ANTIGA PREFEITURA, LOCALIZADA NA RUA CARLOS PRADO, ESQUINA COM A RUA TIRADENTES, Nº 55, CENTRO, MUZAMBINHO MG. CONTRATO 026/2026, VIGENTE ATE 29/12/2026.",13 - CULTURA,"391 - PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO",1302 - REVITALIZACAO DOS PROPRIOS PUBLICOS,1.052 - REFORMAS IMOVEIS TOMBADOS PATRIMONIO CULTURAL,40000000000 - Despesas de Capital,44000000000 - Investimentos,44905100000 - Obras e Instalacoes,0000 - Sem Complementacao
12,05/01/2026,0000118/2025,0000345/2026,Global,G2 CONSTRUTORA LTDA,61.600.209/0001-80,61600209000180,"R$ 663.999,02",663999.02,"CONTRATACAO DE EMPRESA ESPECIALIZADA EM ENGENHARIA/ARQUITETURA COM A FINALIDADE DE REALIZAR SERVICOS COMUNS DE ENGENHARIA PARA REFORMA DA ANTIGA PREFEITURA, LOCALIZADA NA RUA CARLOS PRADO, ESQUINA COM A RUA TIRADENTES, Nº 55, CENTRO, MUZAMBINHO MG.",13 - CULTURA,"391 - PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO",1302 - REVITALIZACAO DOS PROPRIOS PUBLICOS,1.052 - REFORMAS IMOVEIS TOMBADOS PATRIMONIO CULTURAL,40000000000 - Despesas de Capital,44000000000 - Investimentos,44905100000 - Obras e Instalacoes,0000 - Sem Complementacao
